,account_id,content
866,2217593,"money, money, well worth a watch, doesn't take long. please share. this reflects my thoughts on how ardern and company did not have the grace to come out and face us on tues 9th of november, 2021, when we all went to her place for a chat. clearly she has no respect for our thoughts and experience. we won't be violent, we don't fall for that. we won't be nasty, we'll leave that to her supporters. we will just quietly walk away from this toxic relationship. this is the most beautiful thing i've seen in a long while. i cried all the way through it.  my deepest respect and appreciations to every single soul who is choosing to follow their conscience and do what they know is the right thing during this time of extreme pressure by our governments to do us harm. we will stand. quietly, peacefully and firmly. as we quietly stand staff in the hospitals, police, ministry of education and every government institution will find their sense of decency and will come out and stand with us. it's guaranteed. stand strong. much love to everyone."
888,1098448,"dear gabbersyour brother's might not be with you tomorrowtell them you love them. when, and only when, we start teaching our children critical thinking will we stand any chance of turning this shitshow around.they need to know how to think, not what to think."
909,4257604,"good night, all.   this   the [kingdom of god] is inside you. i mean this with all sincerity. some of the worst humans i have ever met are those who quote scripture. as a straight woman, raised in a christian environment, i am blessed to say that i have 3 friends, for at least 30-40 years, who are solid humans, full of integrity, who i would lay down my life for, even if it meant never walking inside another church for the rest of my life. [religion] is a human construct designed to divide and control other humans through fear. this sh!t show is never going to stop unless we realize we are all children of god and that the real kingdom of heaven lives inside us. [sigh] #fionalashells , legend at 7 in honor of this vietnam vet.    some days are easier than others to live up to this. god give you [grace] when you need it most."
1077,5969745,"-nazis are fucking gay.-torba and this shitty website are gay too. what the fuck kind of ""free speech"" website is this?-if you hate jews, you lose.-i was raised on sa and /b/. you're not going to hurt my feelings, trust me.-if you believe in qanon/flat earth/any other bullshit you're fucking retarded."
1182,3370841,biden is now surplus to requirements now and is going under the bus. this is all happening to guide gavin newsom into the big chair. they won t leave a biden around to spill the truth so you may as well start saying goodbye to them one-by-one.
1218,2079096,"keep fighting for the truth.keep fighting for julian assange.#freeassange keep fighting for julian assange.#freejulianassange never give up hope. keep fighting for what is right. believe in miracles.#freejulianassange #pardonjulianassange #justiceforjulianassange  words to live by.thank you, reverend doctor martin luther king jr."
1268,1088503,"  ""dental floss could be the future of vaccines"" former green beret reveals shocking war crimes in gaza by the idf - video surgeon says there is severe famine in gaza and civilians are shot as ""target practice"" by the idf - video kittens use a slide in a park - video doctor testifies about how he thought he was going to die after he got the covid ""vaccine"" - video"
1294,6600637,"por esto yo afirmo que la onu es una mierda.....no condenan la agresion rusa en ucraina, no condenan las masacres de hamas a ciudadados israelies y ahora esto.un video difundido por la agencia irani  irna muestra al secretario general de la onu, anto nio guterres, en la oficina de la onu en iran, expresando sus condolencias por el fallecimiento de ibrahim raisi, conocido como el carnicero de tehera n."
1299,4142149,"fry them both .................  a 6.5 earthquake hit 258 km wnw of sabang, indonesia 1 hour ago ....................   i've been learning about a new weapon for our military, it's a 6.8 x 51 cali. sig fury, aka: 277 fury, seems like an ok weapon for our guys but what bothers me is that we don't stay with the same countries (allies) all the time and we have a bad habit of giving all our advantages to them and once they're on the other side then our enemies have the same weapons we do, yeah, ok we can shoot through armor vests but for how long, big deal they'll be building the same weapon within months of getting their hands on one, it's all propaganda to make our soldiers feel good and make them feel superior on the battlefield and that's when they find out the enemy is on the same level as they are and that's also when ptsd begins because they know they've been lied to by their government, they're not superior and the enemy has upgraded the weapon to have a bigger magazine or some other upgrade that gives them the advantage ............ what this really is is war mongering at its best ....... feel superior if even for a moment and you have an advantage, but it's with your people not an enemy on the battlefield, it's so you can get the people to back going to war and this is what donald trump is doing right now, preparing you and in the future your children to go die in ukraine and israel, not for america but for money and land that he and his children will occupy and rebuild in the future with your tax dollars ................................ "
1339,258790,"hop in and join a special guest :d live with @wisecracker lmao gab ai criticizing grok has molymeme always been this dumb? can he clearly not see what's going on? i suppose he thinks himself to be talented or whatever chinese attempt to gain white customers. jobs i like this shitlib woman more than any of the ""christian nationalists"" eceleb grifter women that implicitly caters to whites. she's more real. mei pharma announces million ltc treasury. this is the most insightful way of looking at it i've ever seen."
1392,2628977,"i won t read this, but she did kinda kick pence s sorry ass in the 20 vp debate. q: who s in camp david helping fjb with debate prep?a: cnn! and prolly steven spielberg with his special effects team. i think china could bail out trump in this nyc extortion scheme. just don t forget to write  loan repayment  on the purpose line of the check and it s all good. noticing a pattern when the  denier  label is attached? climate, election, holocaust. nodding head. congrats to mike pence for qualifying for the repub debate. hope you ve upped your game since kamala harris kicked your ass in the 2016 vp debate."
1414,5341554,i heard about gab on twitter.the solution to bigotry is ending poverty.prosperous people don't turn on each other over differences like race.the big corporations sponsor wokeism to distract us from taxing the billionaires.maoist china sponsors wokeism to distract america while xi takes taiwan.russia sponsors the far right to keep americans fighting each other while russia takes europe.america needs a different way to go.
1476,4087914,"  5 things to know when someone says ""linux is tough""linux as a desktop operating system is easier than ever before. linux distributions like ubuntu, pop!_os, linux mint, linux lite, and many more have made it possible for new users to feel right at home.even with all the improvements, it can be overwhelming for some users, which is why we want you to know that it is not as problematic as you might assume.source:   'i want to dump big tech, but i don't know where to start!' - your linux introduction!welcome to the starting line. all of us started here at one time or another. some started decades ago; some started yesterday; some will be here tomorrow. all of us were beginners at doing-something-new-to-us, for the very first time. now, you re asking yourself,  what s next? which way to the finish line? the finish line is much closer than you think!   start here   #dumpbigtech #linux #foss #gnu #digitalfreedom"
1542,519258,"house of god?  only the beginning.those who you are taught to trust the most...expect many many many similar reports to surface from around the world.it goes alot deeper.  the choice to know will be yours  q there is hard evidence that six popes since 1922, two of them now saints, maintained and expanded a system of cover-up of child sexual abuse by clergy through canon law, in order to save the church s reputation. the #catholicchurch for some 1500 years recognised that simply stripping a priest of his status as a #priest was not a sufficient punishment for the sexual abuse of children.  canon law from the 12th century decreed that he should be dismissed from the priesthood and handed over to the civil authority for punishment in accordance with the civil law.  a commission set up by pope pius x in 1904 drafted a uniform code of canon law by discarding papal and council decrees that were no longer relevant, modifying others and creating new ones. the 1917 code of canon law discarded the decrees requiring priests who sexually assaulted children to be handed over to the civil authorities.five years later, pope pius xi issued his 1922 decree, crimen sollicitationis, imposing the   secret of the holy office , a  permanent silence   on all information the church obtained through its canonical investigations of clergy sex abuse of children.  there were no exceptions allowing the reporting of these crimes to the civil authorities. in 1962, pope st. john xxiii reissued crimen sollicitationis. in 1974, pope paul vi, by his decree, secreta continere renamed    the secret of the holy office     the pontifical secret  ,and it continued to apply to the sexual abuse of children under the new 1983 code of canon law.in 2001, pope st. john paul ii confirmed the pontifical secret under some new procedures, and in 2010,  pope benedict xvi expanded its reach by applying it to allegations of priests having sex with intellectually disabled people.  in 2010, the holy see allowed a restricted form of reporting to the civil authorities but only where the civil law required it.in most parts of the world, and in every state of australia, apart from nsw, there is no such requirement to report in the vast majority of cases.  the pontifical secret still applies where there are no such reporting laws.{the policy of secrecy may not have been so disastrous for children had canon law s internal disciplinary procedures been adequate to dismiss such priests. but they were not.} canon law required bishops to try and reform such priests before dismissing them.!? in his 1983 code of canon law, pope john paul ii imposed a five-year limitation period that effectively meant there would be no canonical trials of sex-abusing"
1594,5121576,"so i just want to make it clear to everyone that i personally don't care for your opinions about who you think i am. you can call me cold, you can call me an asshole, you can call me antifa, i've even had one re-re call me a blm and i'm blonde and white. you can puff your chest feathers up and try to intimidate me by telling me ""you don't know who your talking to"", and you can repost my comments in the attempt to make me look bad.i just don't fawking care! so have a great day. you be you, i'll be me, and when push comes to shove, you'll be happy i'm not sitting in my mommies basement being a troll."
1739,6618746,"so what are we going to about this problem? the theft of our dreams is fucking criminal. i can't comprehend this this is terrifying, i hope we are on the side of each other against elites walking the hall of government telling us who can and cannot have a house, who of us live or dies? . wtf is this evil? wow, americans are cool with this evil... hahahahaha majority of americans are just behind this type of power???. i don't know   evil is winning. monsters are real and there connected"
1814,5893603,"gab loses through christianity.gettr loses through right wing politics.twitter loses through left wing propaganda.truth social is created by the poison peddler himself.time to create a better platform for everyone to feel comfortable to express their thoughts and beliefs without anger, judgment, and self-righteousness. #socialmedia #twitter #gettr #gab #truthsocial #biden #trump #christianity @a wow, duped for life. religion is a human created product. a creator(s) did not drop a book on the ground 2022 years ago. life existed before then. the old testament created an eye for an eye master religion, for the servant peasant new testament to turn the other cheek. you have been duped as so many to worship a creator(s) who brings people like soros and rothschild's to the forefront and let people like van gogh suffer. the same creator(s) who brings a child cancer from birth and not someone who ruins other people's lives (until they croak, doing the damage). the creator(s) either do not give a damn about us, like we don't when we step on an ant, or it(they) are quite an atrocious specimen scum."
2332,2625036,"am completely horrified by the images coming out of gaza, watching children being starved to death.  i have never witnessed anything more horrific in my life.  irish actress nicola coughlan  there is no alan dershowitz  europa: the last battle (2017) - full documentary  this is for you, ped phile when the government tries to take your gun..."
2389,335263,"donald trump: finish else is there to say?donald trump was elected to end the wars in ukraine and gaza.in ukraine, the war hasn t ended and trump is sending weapons to keep it going. in gaza, netanyahu broke the ceasefire agreement in march and resumed the war. in iran, netanyahu attacked and started a war and succeeded in dragging us into it. in syria, netanyahu blew up the presidential palace. along the way, he has found the time to bomb the only catholic church in gaza and starve the population. he also endorsed lindsey graham and tom cotton while working with aipac to purge thomas massie."
2409,1431055," can show up for a photo opportunity less than one block from where they let kids live in filth and while they did absolutely nothing to help them. man is the chair for the democratic party in elkhart county indiana. a teacher at westside middle school in elkhart, and also on the board of public safety.  "
2441,5329180,"the one thorn in the side of trump and bondi's claim there is no epstein files, is the conviction of maxwell. their claim is disingenuous so long as she is imprisoned because of the epstein files. the supreme court overturning her convictions will then give trump and bondi's claim the appearance of credibility and bury the files forever. so far the only thing that has happened with the epstein files is ghislaine maxwell being transferred from a maximum security prison to a minimum security prison. meanwhile, none of those who committed the crimes have been held legally accountable and trump and bondi have been able to bury the story. i have a hard time understanding why anyone still supports trump. so far the only thing that has happened with the epstein files is ghislaine maxwell being transferred from a maximum security prison to a minimum security prison. meanwhile, none of those who committed the crimes have been held legally accountable and trump and bondi have been able to bury the story. i have a hard time understanding why anyone still supports trump. so far the only thing that has happened with the epstein files is ghislaine maxwell being transferred from a maximum security prison to a minimum security prison. meanwhile, none of those who committed the crimes have been held legally accountable and trump and bondi have been able to bury the story. i have a hard time understanding why anyone still supports trump."
2513,5161455,". rilascio dei documenti sull assassinio di martin luther kingl amministrazione del presidente statunitense donald trump ha recentemente reso pubblici migliaia di documenti governativi riguardanti l assassinio del noto attivista per i diritti civili martin luther king jr. questo rilascio, avvenuto il 21 luglio 2025, ha visto la pubblicazione di circa 240.000 pagine sul sito web degli archivi nazionali, con la promessa di ulteriori divulgazioni in futuro. questi documenti sono stati attesi a lungo e rappresentano un passo significativo verso la trasparenza riguardo a uno degli eventi piu  tragici e controversi della storia americana...  leggi aiuta la libera informazione condividendo gli articoli che ti sono piaciuti e lasciando un mi piace.  se puoi, dona un caffe  per aiutarci a dare la possibilita  al popolo di esprimersi liberamente, o inviaci i tuoi articoli che vuoi vedere pubblicati al link: canali telegram: e canale signal (solo utenti italiani): . restituzione dei beni culturali e riconquista della sovranita  africanamaria manuela lucas, attuale ministro degli affari esteri del mozambico, ha recentemente espresso con fermezza l importanza di restituire tutto cio  che e  stato sottratto all africa dalle potenze coloniali occidentali. durante un incontro a mosca con sergey lavrov, il suo omologo russo, lucas ha sostenuto che le ingiustizie storiche devono essere affrontate attraverso riforme strutturali, piuttosto che limitarsi a gesti simbolici da parte delle nazioni occidentali. questo richiamo non si limita solo al rimpatrio di artefatti culturali, ma si estende a una rivendicazione piu  ampia di dignita , indipendenza e autonomia economica per il continente africano...  leggi aiuta la libera informazione condividendo gli articoli che ti sono piaciuti e lasciando un mi piace.  se puoi, dona un caffe  per aiutarci a dare la possibilita  al popolo di esprimersi liberamente, o inviaci i tuoi articoli che vuoi vedere pubblicati al link: canali telegram: e canale signal (solo utenti italiani):"
2585,6125458,"the new blueprint for humanity !29 ""real"" solutions to return power to the 99 % we the people ,for the people & by the people !!!check it out   to learn the "" truth ""who created the current slave monetary & legal system ?and how you can help get humanity out of it ? we are the #truth, #honor & #integrity show, a group designed with the sole purpose of improving life and humanity. we operate under the premise of the #benefit for the"
2636,3512980,"""traditional values"" in russia:- the highest divorce rate in europe- the highest abortion rate in the world leaving even china and usa way behind.- less than 5% of the whole population going to church.- high number of pedophiles in ru army."
2919,1098897,"i woke up a few days ago and had the thought, ""california is losing an opium war.""it isn't just the fentanyl. i recently read that british agents ensured the destruction of competent reformers that popped up in china; something similar is happening in california. our largest land owners and business interests can't seem to beat the money and efforts to deindustrialize the state.it appears as though our tax dollars are paying for many of the opium war policies being run against us."
2927,489801,"!!! trigger warning !!!the content of the videos in this post are gruesome, to say the least. animal cruelty at its worst, carried out by the uk london metropolitan police service. if you decide to view them, be warned, a piece of you will be taken away, never to return. please understand, the nature of this post is not to upset but to spread awareness as, as usual, the mainstream media are desperate to cover this up, i have not seen any other posts on gab about these two poor murdered dogs  please look into this ""story"", we, your british brothers, sisters and fellow dog lovers need your support.#justiceformarshallandmillions"
3063,1411170,"@lear45pilot @lastof5000 ha! funny how the immigrants coming into this country have to get due process, but if you decide you don't want them, you can just change the rules huh? can't wait to laugh @ you when this crap happens to you and your people."
3150,3907741,"        - israel says it has found documents in gaza which shows alleged secret meetings between france and hamas. according to the documents, paris was keen on holding direct talks with hamas in 2020, and criticized the us handling of the conflict.france has denied the reports, paris calls the documents fabrications to undermine french effort in establishing a two-state solution. (rerum novarum)  capitalism has saved people because people participate, not because corrupt executives or economists. corporations in america are evil. is trump going to announce that he s converted to judaism in 2029?   "
3178,1064960,"new tariffs kick in for dozen of your mind with videos that matter only at how can trump s christian supporters claim to be ""pro-life"" while:backing genocide in gaza (30,000+ dead)ignoring epstein s pedophile network tied to trump?this isn t just politics it s cult-like cognitive dissonance. the same leaders who scream about unborn babies cheer as palestinian children are #gazagenocide #epsteintrump #prolifefraud #zionism #wakeupchurch #politicalcult  watch the full interview at organic extra virgin coconut oil for diy skincare products, candles and more videos on built from scratch on brighteon s independent infrastructure (no aws, no (free speech (decentralized social (blockchain-powered p2p #freespeechtech #uncensoredai #truthtech #decentralizedfuture #censorshipfree  watch the full interview at this podcast episode delves into dr. h. gilbert welch's book ""less medicine, more health: 7 assumptions that drive too much medical care,"" which challenges the assumption that more medical care always leads to better health, advocating for a more balanced approach that considers the potential harms of excessive medical intervention and emphasizes the body's natural healing more videos, visit the podcast episode features a discussion on cryptocurrency's future, privacy technologies, and digital finance, with insights from ashton addison, mike adams and todd pitner, covering topics like bitcoin's evolution, etfs, privacy coins and ai's role in more videos, visit sleep-deprived over ai s future? you re not alone. experts warn palantir s data-crunching tech is the ""brain"" behind ai s rise and its military ties run deep. are we sleepwalking into a surveillance dystopia, where ai shapes reality while truth gets buried? this isn t sci-fi it s happening #palantir #digitaldystopia #surveillancestate #bigtech #wakeupcall #futurerisk  watch the full interview at healing digestive, autoimmune, and other diseases with nutrition (6 part video curious, stay connected   keeps you in the loop! s2e20: mike adams on ai, technocracy & decentralized your perspective watch more videos at today! huge mistake! trump slaps punitive tariffs on countries that produce the transformers needed to build u.s. factories and data centers (brighteon broadcast news, aug 1, your perspective watch more videos at today! mike adams interviews daniel kristos: exposing the mind virus behind christian zionism and u.s. your mind with videos that matter only at breaking analysis: trump insiders hint at a radical monetary overhaul   potentially revaluing gold to to: inject into treasury #dollarcollapse #trump2024 #monetaryreset #goldrevaluation #economicwar #brics  watch the full interview at how helpful cranberry is to the human more videos at brightlearn - survival of the sickest: a medical maverick discovers why we need disease by dr. sharon moalem and jonathan prince explore more videos on breaking: the merger of belt & road (75% global population), sco, and eurasian union with brics could create a bloc representing 90% of humanity and over 50% of world #newworldorder #globaleconomy #economicshift #geopolitics #financialmarkets  watch the full interview at fbi planned to burn it, but now it s out! george soros, russia hoax & an arrest?! dive deeper into the stories that has it all! game-changing alert! brics' new renminbi cross-border payment system (the bridge) just connected 11 asian + 5 middle eastern nations (38% of global #thebridge #dedollarization #financialrevolution #swiftkiller #digitalcurrency #geopolitics  watch the full interview at 5 reasons you have chronic fatigue stay informed, watch more videos at gen z's freedom crisis: how schools are programming the next generation of the end of slavery summit for free at #endofslavery #breakingmyths #docuseries #government #freedom #awakening #consciousness #naturallaw #technologicalliberation #selfcustody gen z's freedom crisis: how schools are programming the next generation of the end of slavery summit for free at #endofslavery #breakingmyths #docuseries #government #freedom #awakening #consciousness #naturallaw #technologicalliberation #selfcustody the true, shocking history of u.s. government bioweapons experiments on the american more videos on the end of slavery: cory endrulat on self-custody, natural law, and technological your perspective watch more videos at today! why europe wants a high casualty count war with more videos at   tpmr 07/29/25 | ai taking over the job market! | paul informed, watch more videos at survival uses of potassium permanganate inside canada's tent cities - chatham-kent ontario's struggle with homeless more videos at"
3184,1420257,"alles ist ein desaster. finde keine besseren worte. denke an auswandern. anno 2019 gabs mal ein video vom grandiosen dominic frisby zu hatespeech: and this is leading to what? please! hope that we will be able to survive. fix voter ftraud. worldwide not available on youtube anymore! ok. do i have to know why? this was a song i liked. oh, yes i like songs that youtube censors. yes, fight for him: never give up. never."
3240,2050102," copyright disclaimer under section 107 of the copyright act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. fair use is a use permitted by copyright statute that might otherwise be infringing. non-profit, educational or personal use tips the balance in favor of fair use.any and all sharing of information in this account, is done with the expectation that the reader will do their own research, and draw their own conclusions. there is no intention to mislead or misinform by the owner of this account. when you want things to hurry up but forgot that this is what we are up against. centuries upon centuries of evil. the fact that we got as far as we did in 4 years is a freaking miracle in and of itself. this isn t over by a long shot."
3284,1456623,"shout out to phil scott, tariq nasheed, and taurean reign reloaded for roasting charlie cuck     big ups to foundational black americans      there's a mass black great awakening happening right now        motherfucker did the crime and crack bills and even the patriot act, that's 3 decades of terror! this fucker even eulogized white trash robert byrd! i love government workers is equivalent to love sucking government dick! cares, communist news network! these motherfuckers suck ass, they're fuckin' trash, they're almost dead last in the eastern conference, 12th place!"
3343,6261833,"israel shooting palestinian teenage boys in the genitals, say doctors in gazaa international doctor working in the besieged gaza strip has told channel 4 news that he is treating a disturbing number of injuries linked to israeli-run so-called aid distribution points, which have been condemned as death traps.speaking from a gaza hospital, the doctor said he and his colleagues have observed a troubling pattern: multiple patients, in particular teenage boys, are arriving with gunshot wounds to the same part of the body.most recently, teenage boys are arriving in the hospitals all shot in the testicles, he said.the remarks add to growing reports that areas near these ""aid"" sites - ostensibly set up to provide relief - have become zones of deliberate targeting black sabbath - behind the wall of sleep"
3410,370120,"in the name of zion (full documentary) ""no government grants me freedom!"" i love her too :)   mep lets rip at e.u - mp4 video the most important part of mario savio's message has been trimmed from the videos! they are trying to erase and rewrite history! listen carefully to this short clip the beginning sounds militant that is the only part they still let us hearthey cut the part he says ""dont break anything a thousand people sitting will prevent the machine from working"" the sixties - the years that shaped a generation"
3486,5255907,"atheism is simply a lack of belief in any god. that's all that is to it. there is a proposition that a god exists. the theist accepts/believes it - the atheist does not. the onus is on the theist to prove that a god exists - and it's impossible, you cannot do it. if you tell me that you have a 50 foot crocodile in your garage - you better be ready to prove it cause i don't believe you. atheists, if you're trying to associate your lack of belief with a world cause or other - stop. there is no church of atheism, anyone that preaches atheism is an idiot in my opinion. theists cannot prove that a god does exist - the atheist cannot prove that a god doesn't exist. christians, let me ask you a question. do you think it's easy to become an atheist? what would it take for you to stop believing in a god - to give up the idea of heaven and hell that's been beaten into you mentally. that's what i went through - you don't just stop believing in a god - you recover from it like an alcoholic."
